"Source:","Y:\Project\ESE2RAM-Cartridge-74670\ESE2RAM-Cartridge-74670.kicad_sch"
"Date:","2024/04/13 19:58:52"
"Tool:","Eeschema 7.0.8"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","25"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"BT1","1","CR2032","Battery_Cell","ProjectLibrary:BatteryHolder_CH2x-2032LF","Single-cell battery","",""
"C1, C2, C3, C4, C5, C6, C7, C8","8","0.1u","C_Small","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","Unpolarized capacitor, small symbol","",""
"C9","1","47u","C_Polarized_Small","ProjectLibrary:CP_Radial_D5.0mm_P2.00mm_Horizontal","Polarized capacitor, small symbol","",""
"D1, D2","2","1N4148","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","100V 0.15A standard switching diode, DO-35","",""
"IC1, IC2","2","4M SRAM","AS6C4008-55PIN","ProjectLibrary:DIP32_600mil_FineLongPad","SRAM 4M, 2.7-5.5V, 55ns 512K x 8 Asynch SRAM","",""
"R1, R2, R3, R4","4","10K","R_Small","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor, small symbol","",""
"RN1","1","10k","R_Network08","Resistor_THT:R_Array_SIP9","8 resistor network, star topology, bussed resistors, small symbol","",""
"S1","1","DTS-63N-V","DTS-63N-V","ProjectLibrary:DTS63NV","6x6 Through Hole & Ground Terminal Type,TS 6MM V H=7.0 160gf BULK ","",""
"U1, U2","2","74HC670","74LS670","ProjectLibrary:DIP16_300mil_FineLongPad","4 x 4 Register Files 3-State Outputs","",""
"U3","1","74HC138","74LS138","ProjectLibrary:DIP16_300mil_FineLongPad","Decoder 3 to 8 active low outputs","",""
"U4","1","74HC00","74LS00","ProjectLibrary:DIP14_300mil_FineLongPad","quad 2-input NAND gate","",""
"U5","1","74HC32","74HC32","ProjectLibrary:DIP14_300mil_FineLongPad","Quad 2-input OR","",""
