Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_CH2x-2032LF,1,CR2032,
"C1, C2, C3, C4, C5, C6, C7, C8",C_Disc_D3.0mm_W1.6mm_P2.50mm,8,0.1u,
C9,CP_Radial_D5.0mm_P2.00mm_Horizontal,1,47u,
"D1, D2",D_DO-35_SOD27_P7.62mm_Horizontal,2,1N4148,
"IC1, IC2",DIP32_600mil_FineLongPad,2,4M SRAM,
"R1, R2, R3, R4",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,4,10K,
RN1,R_Array_SIP9,1,10k,
S1,DTS63NV,1,DTS-63N-V,
"U1, U2",DIP16_300mil_FineLongPad,2,74HC670,
U3,DIP16_300mil_FineLongPad,1,74AHC138,
U4,DIP14_300mil_FineLongPad,1,74AHC00,
U5,DIP14_300mil_FineLongPad,1,74AHC32,
